epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3840.21,0.12297,0.63337,0.81333,0.87816,0.90424,0.93804,0.641,0.12844,0.64251,0.82471,0.000206034,0.000206034,0.000206034
80,3880.35,0.1224,0.62385,0.81161,0.86781,0.91329,0.93647,0.63376,0.13138,0.65118,0.83446,0.000189827,0.000189827,0.000189827
81,3920.4,0.12287,0.61829,0.80425,0.87383,0.90826,0.93476,0.64305,0.12771,0.64246,0.81315,0.000174262,0.000174262,0.000174262
82,3960.68,0.12328,0.62295,0.80839,0.86817,0.91177,0.93281,0.6396,0.1281,0.64342,0.82143,0.000159357,0.000159357,0.000159357
83,4000.68,0.12222,0.61946,0.8106,0.87208,0.90928,0.93672,0.63625,0.13027,0.64337,0.83011,0.000145125,0.000145125,0.000145125
84,4040.7,0.12248,0.62063,0.81076,0.87173,0.90626,0.93533,0.64134,0.1284,0.64516,0.83279,0.000131581,0.000131581,0.000131581
85,4081.7,0.12245,0.6125,0.81648,0.86814,0.91319,0.93361,0.63698,0.12942,0.64906,0.83859,0.000118737,0.000118737,0.000118737
86,4122.51,0.12188,0.61393,0.81567,0.87847,0.89758,0.93407,0.63731,0.12977,0.6463,0.83524,0.000106608,0.000106608,0.000106608
87,4163.11,0.12286,0.61807,0.81589,0.87354,0.9061,0.93512,0.64225,0.12767,0.64197,0.82835,9.52034e-05,9.52034e-05,9.52034e-05
88,4203.88,0.12149,0.59978,0.80602,0.87286,0.90988,0.93588,0.64378,0.12773,0.64126,0.82708,8.4536e-05,8.4536e-05,8.4536e-05
89,4244.82,0.12239,0.60642,0.81207,0.87619,0.90434,0.9326,0.63884,0.12834,0.64405,0.83175,7.4616e-05,7.4616e-05,7.4616e-05
90,4285.44,0.12153,0.60491,0.81434,0.86919,0.91125,0.93317,0.63925,0.12847,0.64626,0.83366,6.54531e-05,6.54531e-05,6.54531e-05
91,4324.23,0.12119,0.58051,0.82698,0.87538,0.89972,0.93115,0.63831,0.12838,0.65505,0.83804,5.70564e-05,5.70564e-05,5.70564e-05
92,4363.2,0.12112,0.5808,0.82286,0.87649,0.90025,0.93327,0.64123,0.12772,0.65047,0.83108,4.94343e-05,4.94343e-05,4.94343e-05
93,4402.15,0.121,0.57526,0.81588,0.8844,0.89407,0.93317,0.6433,0.127,0.64647,0.82573,4.25941e-05,4.25941e-05,4.25941e-05
94,4441.21,0.11951,0.56831,0.81132,0.87615,0.90148,0.93184,0.64089,0.12755,0.64956,0.82641,3.65426e-05,3.65426e-05,3.65426e-05
95,4479.76,0.12061,0.57593,0.82128,0.867,0.90731,0.93218,0.63897,0.12854,0.65117,0.82914,3.12859e-05,3.12859e-05,3.12859e-05
96,4518.27,0.12034,0.57275,0.81579,0.86544,0.90864,0.93232,0.64298,0.12682,0.64923,0.82504,2.68292e-05,2.68292e-05,2.68292e-05
97,4556.5,0.12032,0.57441,0.81987,0.87213,0.90384,0.93254,0.64007,0.1278,0.65106,0.82956,2.31767e-05,2.31767e-05,2.31767e-05
98,4594.74,0.12015,0.57175,0.82122,0.86951,0.90655,0.93247,0.64102,0.12774,0.65084,0.83059,2.03321e-05,2.03321e-05,2.03321e-05
99,4632.99,0.11984,0.57169,0.81523,0.87557,0.90125,0.93214,0.64237,0.127,0.64799,0.82898,1.82983e-05,1.82983e-05,1.82983e-05
100,4671.21,0.11938,0.5659,0.81116,0.87259,0.90462,0.93288,0.64151,0.12743,0.64871,0.83046,1.70772e-05,1.70772e-05,1.70772e-05
