epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,121.274,0.66547,0.44911,0.92139,0.74151,0.73183,0.74953,0.503,0.73539,0.48921,0.94254,0.0010093,0.0010093,0.0010093
91,122.53,0.67573,0.44616,0.90918,0.7956,0.73074,0.78969,0.53495,0.70817,0.48217,0.93166,0.00100459,0.00100459,0.00100459
92,123.794,0.68967,0.45816,0.91344,0.81968,0.68568,0.74364,0.51456,0.74312,0.48596,0.93722,0.000999871,0.000999871,0.000999871
93,125.062,0.68066,0.44985,0.91654,0.71066,0.70813,0.75088,0.519,0.71313,0.4807,0.93801,0.000995156,0.000995156,0.000995156
94,126.313,0.66409,0.44619,0.90925,0.73896,0.7734,0.75153,0.51822,0.73731,0.49317,0.95088,0.00099044,0.00099044,0.00099044
95,127.582,0.68224,0.46144,0.92783,0.71102,0.74202,0.73688,0.51406,0.70548,0.48557,0.94036,0.000985724,0.000985724,0.000985724
96,128.864,0.67527,0.45969,0.91514,0.78981,0.61771,0.68278,0.49748,0.71775,0.49392,0.95009,0.000981008,0.000981008,0.000981008
97,130.103,0.67162,0.46267,0.92387,0.77132,0.63237,0.69585,0.50182,0.7191,0.48321,0.94661,0.000976293,0.000976293,0.000976293
98,131.378,0.65856,0.4417,0.91748,0.66721,0.75598,0.68663,0.50082,0.71478,0.50064,0.94162,0.000971577,0.000971577,0.000971577
99,132.763,0.65228,0.42811,0.90422,0.63445,0.76633,0.66986,0.49206,0.74349,0.50352,0.95367,0.000966861,0.000966861,0.000966861
100,134.055,0.63696,0.43938,0.90476,0.67683,0.69418,0.6736,0.50704,0.71698,0.48639,0.94186,0.000962146,0.000962146,0.000962146
101,135.305,0.64359,0.44014,0.91011,0.68201,0.69033,0.68085,0.51293,0.71418,0.47942,0.94822,0.00095743,0.00095743,0.00095743
102,136.579,0.62848,0.42503,0.89981,0.68958,0.67783,0.6845,0.49603,0.76794,0.5108,0.98143,0.000952714,0.000952714,0.000952714
103,137.853,0.66221,0.44538,0.91164,0.68044,0.68538,0.6824,0.50032,0.74433,0.50601,0.96905,0.000947999,0.000947999,0.000947999
104,139.135,0.67327,0.44474,0.91494,0.76982,0.671,0.70693,0.51275,0.72307,0.48827,0.95394,0.000943283,0.000943283,0.000943283
105,140.41,0.64815,0.43398,0.90187,0.74817,0.67326,0.70154,0.51154,0.72857,0.489,0.9562,0.000938567,0.000938567,0.000938567
106,141.794,0.64624,0.4317,0.90514,0.82445,0.64156,0.70767,0.49612,0.73589,0.48916,0.95594,0.000933851,0.000933851,0.000933851
107,143.07,0.65029,0.43172,0.9038,0.77928,0.64865,0.7056,0.49314,0.73989,0.47977,0.96018,0.000929136,0.000929136,0.000929136
108,144.343,0.65445,0.44301,0.9206,0.72642,0.63707,0.71015,0.50961,0.71637,0.48321,0.94522,0.00092442,0.00092442,0.00092442
109,145.762,0.64101,0.42281,0.90599,0.76605,0.6177,0.72018,0.5198,0.74897,0.48356,0.95766,0.000919704,0.000919704,0.000919704
110,147.069,0.65191,0.43458,0.90497,0.7052,0.67906,0.70971,0.50566,0.77533,0.47428,0.97489,0.000914989,0.000914989,0.000914989
111,148.321,0.65649,0.44334,0.90926,0.82393,0.63117,0.70112,0.51156,0.74864,0.47186,0.96323,0.000910273,0.000910273,0.000910273
112,149.584,0.66345,0.44152,0.91596,0.92074,0.60814,0.70287,0.51371,0.73964,0.4762,0.95344,0.000905557,0.000905557,0.000905557
113,150.838,0.6543,0.43309,0.90924,0.76569,0.65507,0.69551,0.50291,0.73415,0.47915,0.95797,0.000900842,0.000900842,0.000900842
114,152.091,0.65841,0.43414,0.91147,0.79449,0.63047,0.70253,0.50477,0.72451,0.47095,0.95712,0.000896126,0.000896126,0.000896126
115,153.312,0.65264,0.43599,0.92737,0.77809,0.62738,0.70904,0.51779,0.73483,0.46458,0.94522,0.00089141,0.00089141,0.00089141
116,154.69,0.68635,0.43918,0.90685,0.6558,0.80663,0.78098,0.54153,0.73071,0.45949,0.94788,0.000886694,0.000886694,0.000886694
117,155.976,0.66579,0.42707,0.907,0.78485,0.73782,0.77462,0.54076,0.75437,0.4688,0.96058,0.000881979,0.000881979,0.000881979
118,157.228,0.65193,0.42869,0.90422,0.82409,0.7055,0.77535,0.54915,0.72012,0.45616,0.94527,0.000877263,0.000877263,0.000877263
119,158.538,0.63921,0.42361,0.90375,0.80717,0.70552,0.76275,0.55047,0.72861,0.4555,0.94817,0.000872547,0.000872547,0.000872547
120,159.805,0.64656,0.43033,0.91002,0.78133,0.70024,0.73681,0.54504,0.73447,0.45962,0.94615,0.000867832,0.000867832,0.000867832
121,161.05,0.64503,0.4275,0.90157,0.73135,0.74322,0.74014,0.53762,0.7041,0.45411,0.93733,0.000863116,0.000863116,0.000863116
122,162.314,0.64849,0.42674,0.90974,0.89713,0.63432,0.74058,0.51352,0.73273,0.47958,0.95501,0.0008584,0.0008584,0.0008584
123,163.601,0.62199,0.41677,0.90121,0.93956,0.64633,0.73982,0.51692,0.70306,0.46741,0.94302,0.000853685,0.000853685,0.000853685
124,164.898,0.6243,0.41381,0.91563,0.78794,0.73592,0.75438,0.52524,0.6917,0.45747,0.93674,0.000848969,0.000848969,0.000848969
125,166.226,0.62256,0.42208,0.89702,0.75335,0.73721,0.75448,0.519,0.7041,0.4557,0.94331,0.000844253,0.000844253,0.000844253
126,167.649,0.59732,0.40632,0.90014,0.7126,0.72328,0.75403,0.52897,0.70025,0.4684,0.94717,0.000839537,0.000839537,0.000839537
127,168.926,0.607,0.40233,0.89125,0.65822,0.83413,0.75062,0.53423,0.72871,0.46786,0.95173,0.000834822,0.000834822,0.000834822
128,170.187,0.61781,0.41615,0.90842,0.74134,0.75,0.76458,0.54596,0.70719,0.45191,0.93652,0.000830106,0.000830106,0.000830106
129,171.503,0.63072,0.41301,0.90174,0.79693,0.76294,0.76859,0.55077,0.69965,0.44074,0.93602,0.00082539,0.00082539,0.00082539
130,172.863,0.63353,0.40631,0.89841,0.76844,0.76874,0.77198,0.52537,0.78072,0.45454,0.97722,0.000820675,0.000820675,0.000820675
131,174.151,0.60884,0.40279,0.89528,0.75172,0.78628,0.76918,0.53396,0.71584,0.44645,0.9511,0.000815959,0.000815959,0.000815959
132,175.424,0.60188,0.4017,0.88704,0.71363,0.80383,0.74574,0.51716,0.7716,0.45492,0.96652,0.000811243,0.000811243,0.000811243
133,176.73,0.64085,0.40209,0.91123,0.83428,0.67547,0.73943,0.50482,0.77236,0.46554,0.9617,0.000806528,0.000806528,0.000806528
134,178.006,0.59654,0.40299,0.89762,0.78454,0.71796,0.72187,0.50664,0.71021,0.46231,0.94128,0.000801812,0.000801812,0.000801812
135,179.244,0.6217,0.40896,0.89771,0.76356,0.69612,0.70587,0.50806,0.71685,0.47111,0.94621,0.000797096,0.000797096,0.000797096
136,180.53,0.641,0.40834,0.90593,0.75663,0.70929,0.73019,0.49935,0.75908,0.48017,0.96369,0.00079238,0.00079238,0.00079238
137,181.807,0.61832,0.40419,0.8975,0.66459,0.77113,0.71959,0.51047,0.72931,0.4673,0.94797,0.000787665,0.000787665,0.000787665
138,183.089,0.61775,0.40098,0.89655,0.70369,0.70604,0.72348,0.52196,0.71351,0.47002,0.9378,0.000782949,0.000782949,0.000782949
139,184.424,0.63871,0.41156,0.90377,0.67773,0.74761,0.71173,0.50793,0.7258,0.47934,0.93862,0.000778233,0.000778233,0.000778233
140,185.786,0.63002,0.40152,0.88904,0.64194,0.78747,0.70214,0.49639,0.72129,0.46261,0.94268,0.000773518,0.000773518,0.000773518
141,187.085,0.61367,0.39951,0.88981,0.7725,0.6171,0.70239,0.49837,0.73849,0.46165,0.94572,0.000768802,0.000768802,0.000768802
142,188.402,0.62804,0.40976,0.88859,0.76084,0.68459,0.73102,0.51773,0.7095,0.45655,0.94637,0.000764086,0.000764086,0.000764086
143,189.652,0.61275,0.3973,0.89542,0.69424,0.73333,0.75114,0.52589,0.71859,0.46161,0.95063,0.000759371,0.000759371,0.000759371
144,190.899,0.62735,0.4092,0.90475,0.77574,0.68483,0.7491,0.52595,0.7009,0.45581,0.93825,0.000754655,0.000754655,0.000754655
145,192.142,0.62231,0.40414,0.90272,0.62974,0.71052,0.72592,0.52415,0.70855,0.46115,0.94071,0.000749939,0.000749939,0.000749939
146,193.441,0.60821,0.40099,0.89957,0.6827,0.69282,0.71048,0.50059,0.70491,0.46654,0.95183,0.000745223,0.000745223,0.000745223
147,194.715,0.61613,0.40359,0.90881,0.68139,0.68039,0.70151,0.50919,0.70762,0.46276,0.94334,0.000740508,0.000740508,0.000740508
148,196.014,0.61443,0.4056,0.89222,0.66132,0.79264,0.71589,0.5227,0.69624,0.45216,0.93778,0.000735792,0.000735792,0.000735792
149,197.285,0.59111,0.39316,0.88516,0.67789,0.80041,0.73524,0.52794,0.70477,0.43994,0.94131,0.000731076,0.000731076,0.000731076
150,198.552,0.60329,0.39515,0.89967,0.68174,0.76704,0.742,0.53723,0.71966,0.45229,0.93517,0.000726361,0.000726361,0.000726361
151,199.796,0.59647,0.38667,0.90025,0.75586,0.67416,0.72413,0.53122,0.71333,0.4514,0.93727,0.000721645,0.000721645,0.000721645
152,201.118,0.59335,0.39431,0.88514,0.66833,0.69527,0.72145,0.51914,0.74709,0.46119,0.95382,0.000716929,0.000716929,0.000716929
153,202.371,0.60819,0.39355,0.89781,0.68921,0.72185,0.72832,0.52748,0.73219,0.45834,0.94799,0.000712214,0.000712214,0.000712214
154,203.646,0.59839,0.39192,0.89455,0.60015,0.79107,0.69999,0.52123,0.70773,0.44712,0.93711,0.000707498,0.000707498,0.000707498
155,204.968,0.59871,0.38829,0.89098,0.74504,0.63799,0.70407,0.51221,0.72362,0.45331,0.94491,0.000702782,0.000702782,0.000702782
156,206.284,0.59656,0.3885,0.89238,0.56335,0.72568,0.67474,0.49253,0.74032,0.46086,0.94899,0.000698066,0.000698066,0.000698066
157,207.537,0.59651,0.39113,0.89231,0.75645,0.56716,0.65265,0.47411,0.7517,0.45963,0.95191,0.000693351,0.000693351,0.000693351
158,208.897,0.5889,0.38463,0.88504,0.65598,0.70574,0.68505,0.48222,0.73054,0.44517,0.95542,0.000688635,0.000688635,0.000688635
159,210.182,0.63135,0.38977,0.9057,0.68548,0.67329,0.66893,0.47596,0.75535,0.45504,0.96583,0.000683919,0.000683919,0.000683919
160,211.46,0.62205,0.39091,0.90636,0.72808,0.64033,0.67296,0.49542,0.68812,0.45165,0.93405,0.000679204,0.000679204,0.000679204
161,212.69,0.5955,0.39102,0.89291,0.78949,0.67116,0.72174,0.51268,0.69565,0.44137,0.93511,0.000674488,0.000674488,0.000674488
162,214.05,0.59679,0.38678,0.89211,0.71051,0.72567,0.73228,0.51729,0.71633,0.44431,0.94726,0.000669772,0.000669772,0.000669772
163,215.342,0.60888,0.38871,0.88501,0.66388,0.69536,0.73774,0.52357,0.71404,0.44293,0.94409,0.000665057,0.000665057,0.000665057
164,216.616,0.59258,0.38432,0.89662,0.64394,0.72687,0.71804,0.53924,0.70874,0.44634,0.94073,0.000660341,0.000660341,0.000660341
