epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,4783.07,0.06536,0.15809,0.76663,0.72476,0,0.81416,0.7823,0.85214,0.67862,0.81833,0.75738,0.82251,0.60144,0.08133,0.17484,0.9262,0.60549,0,0.000209073,0.000209073,0.000209073
82,4841.94,0.06512,0.15679,0.76639,0.7242,0,0.84292,0.76929,0.85699,0.68812,0.84081,0.76656,0.82612,0.61526,0.0802,0.16601,0.88797,0.5967,0,0.00019119,0.00019119,0.00019119
83,4900.18,0.06477,0.16297,0.77214,0.72789,0,0.81552,0.79024,0.8576,0.68825,0.82224,0.77522,0.82577,0.61226,0.08019,0.16889,0.89458,0.60104,0,0.000174115,0.000174115,0.000174115
84,4958.27,0.0642,0.15379,0.75167,0.72795,0,0.81172,0.77345,0.85689,0.68789,0.83327,0.73982,0.81767,0.6123,0.0806,0.16742,0.88089,0.60241,0,0.000157865,0.000157865,0.000157865
85,5016.26,0.06421,0.15793,0.73867,0.72414,0,0.83387,0.77289,0.85981,0.68959,0.839,0.77168,0.83054,0.62388,0.07887,0.16644,0.85409,0.58967,0,0.000142456,0.000142456,0.000142456
86,5074.59,0.0648,0.15354,0.7439,0.72434,0,0.83004,0.76991,0.85235,0.68321,0.832,0.7646,0.82194,0.60864,0.07974,0.16971,0.87914,0.59218,0,0.000127904,0.000127904,0.000127904
87,5132.63,0.06369,0.15627,0.73617,0.72787,0,0.82303,0.76551,0.85463,0.68766,0.83341,0.75398,0.8199,0.6132,0.07894,0.1694,0.88878,0.59027,0,0.000114221,0.000114221,0.000114221
88,5190.63,0.06345,0.15862,0.74227,0.7198,0,0.81941,0.78584,0.85461,0.68434,0.81918,0.76283,0.82188,0.61486,0.07811,0.16694,0.87024,0.58736,0,0.000101423,0.000101423,0.000101423
89,5248.67,0.06168,0.14937,0.73767,0.71834,0,0.81691,0.78179,0.85193,0.68841,0.82384,0.76106,0.8199,0.6173,0.07648,0.16491,0.85843,0.58644,0,8.95213e-05,8.95213e-05,8.95213e-05
90,5306.9,0.06332,0.15043,0.74712,0.71978,0,0.8058,0.79292,0.8514,0.68704,0.83554,0.74635,0.82245,0.61811,0.07712,0.16563,0.87052,0.58958,0,7.8528e-05,7.8528e-05,7.8528e-05
