id,pixel_x1,pixel_y1,pixel_x2,pixel_y2,geo_x1,geo_y1,geo_x2,geo_y2,confidence,class_id,class_name
35128,19287.154,9827.235,19333.203,9877.278,113.48812,34.211456,113.48813,34.211452,0.30289214849472046,0,healthy
35129,8793.225,6336.001,8871.41,6350.799,113.48694,34.211784,113.486946,34.211784,0.3028811812400818,0,healthy
35130,15186.764,1200.9296,15251.427,1216.0,113.48766,34.212265,113.48767,34.212265,0.30287060141563416,0,healthy
35131,15017.796,1152.0938,15040.0,1202.6887,113.48764,34.212273,113.48764,34.212265,0.30284127593040466,0,healthy
35132,18807.244,8686.926,18871.352,8704.0,113.48807,34.211567,113.488075,34.211563,0.3027958869934082,0,healthy
35133,11730.698,6912.038,11788.417,6945.536,113.487274,34.21173,113.487274,34.211727,0.3027709424495697,1,disease
35134,13558.598,4953.182,13604.141,4996.3833,113.48748,34.211914,113.48748,34.21191,0.3027292788028717,0,healthy
35135,9216.12,3390.1616,9230.141,3471.0337,113.486984,34.212063,113.48699,34.212055,0.30266445875167847,0,healthy
35136,10403.939,11252.135,10431.923,11312.858,113.48712,34.211323,113.48712,34.21132,0.30258697271347046,0,healthy
35137,16892.945,1874.2233,16952.238,1932.0455,113.487854,34.212204,113.48786,34.2122,0.3025195300579071,0,healthy
35138,16162.792,9824.64,16192.0,9881.075,113.48777,34.21146,113.48778,34.211452,0.30251240730285645,0,healthy
35139,9034.688,4976.882,9074.215,5016.967,113.48697,34.211914,113.48697,34.21191,0.30247658491134644,0,healthy
35140,17850.582,12528.014,17909.06,12581.023,113.48796,34.211205,113.48797,34.2112,0.3024706542491913,0,healthy
35141,15092.941,12717.496,15159.062,12736.0,113.48765,34.211185,113.487656,34.211185,0.3022695779800415,0,healthy
35142,17420.133,13543.171,17490.443,13597.741,113.487915,34.21111,113.48792,34.211105,0.3022623360157013,0,healthy
35143,17836.34,11919.5625,17879.318,11962.364,113.48796,34.21126,113.48796,34.211258,0.3022468388080597,0,healthy
35144,19406.48,6355.776,19458.291,6399.1436,113.48814,34.211784,113.488144,34.21178,0.30221137404441833,0,healthy
35145,5184.057,9672.724,5209.0747,9714.614,113.486534,34.21147,113.486534,34.211468,0.30218151211738586,0,healthy
35146,20430.709,12376.495,20472.06,12413.341,113.48825,34.21122,113.48826,34.211216,0.30207452178001404,0,healthy
35147,17091.49,4642.862,17138.348,4682.7207,113.48788,34.211945,113.487885,34.21194,0.30189359188079834,0,healthy
35148,16704.0,2880.0,16728.873,2903.9072,113.48783,34.21211,113.48783,34.21211,0.3018835186958313,0,healthy
35149,11962.704,3456.0278,12027.862,3474.11,113.4873,34.212055,113.487305,34.212055,0.3018747866153717,0,healthy
35150,11672.448,11238.552,11716.585,11283.584,113.48727,34.211327,113.48727,34.211323,0.30184406042099,0,healthy
35151,8479.501,8056.1885,8534.234,8109.0073,113.4869,34.211624,113.48691,34.21162,0.30182263255119324,1,disease
35152,19625.336,10608.772,19648.0,10662.296,113.48816,34.211384,113.48817,34.21138,0.30170953273773193,0,healthy
35153,12709.869,1042.5481,12736.0,1094.5483,113.48738,34.21228,113.48738,34.212276,0.3014964759349823,0,healthy
35154,19147.67,7505.4775,19200.613,7551.7065,113.488106,34.211678,113.48811,34.21167,0.3014942705631256,0,healthy
35155,21052.32,7488.0522,21111.465,7499.6157,113.48832,34.211678,113.48833,34.211678,0.30147308111190796,0,healthy
35156,15108.673,2314.8386,15165.103,2367.679,113.48765,34.212162,113.487656,34.21216,0.30136996507644653,0,healthy
35157,6921.5654,10368.075,6976.0,10386.664,113.486725,34.211407,113.48673,34.211407,0.3012721836566925,0,healthy
35158,20434.926,12029.73,20475.129,12073.432,113.48825,34.21125,113.48826,34.211246,0.30127179622650146,0,healthy
35159,8111.274,4312.2236,8128.0,4376.991,113.48686,34.211975,113.48686,34.211967,0.3012540340423584,0,healthy
35160,16128.055,5888.5586,16143.041,5954.6357,113.48777,34.211826,113.48777,34.211823,0.30115950107574463,0,healthy
35161,18956.201,8671.168,19003.447,8704.0,113.48808,34.211567,113.48809,34.211563,0.3010854423046112,0,healthy
35162,6012.862,8640.029,6073.5615,8651.513,113.486626,34.21157,113.48663,34.211567,0.3010297417640686,0,healthy
35163,16004.124,9216.036,16081.224,9231.183,113.487755,34.211514,113.48776,34.211514,0.3010227084159851,0,healthy
35164,3257.1953,6912.005,3323.2446,6935.163,113.48631,34.21173,113.48632,34.21173,0.3009878098964691,0,healthy
35165,14999.122,11538.742,15040.0,11584.0,113.48764,34.211296,113.48764,34.211292,0.30098599195480347,0,healthy
35166,22459.9,9366.662,22520.324,9420.25,113.48848,34.211502,113.48849,34.211494,0.3009824752807617,1,disease
35167,17468.926,5843.307,17511.393,5881.624,113.487915,34.21183,113.48792,34.211826,0.30086714029312134,0,healthy
35168,17561.762,15182.739,17618.043,15240.3545,113.48793,34.210957,113.48794,34.21095,0.3008632957935333,0,healthy
35169,12027.078,11970.603,12076.795,12019.909,113.487305,34.211258,113.48731,34.211254,0.30084535479545593,0,healthy
35170,14994.029,7947.76,15039.421,7993.637,113.48764,34.211636,113.48764,34.21163,0.3008294105529785,0,healthy
35171,18517.611,12275.101,18580.623,12325.173,113.48804,34.211227,113.488045,34.211224,0.300761342048645,0,healthy
35172,14994.07,7947.7783,15055.631,7996.3813,113.48764,34.211636,113.48765,34.211628,0.3006954491138458,0,healthy
35173,11720.315,9886.096,11756.436,9920.305,113.48727,34.211452,113.487274,34.21145,0.30068090558052063,0,healthy
35174,10262.461,2119.1365,10304.161,2165.7935,113.48711,34.21218,113.48711,34.212177,0.30063578486442566,0,healthy
35175,19251.19,4611.223,19309.492,4660.067,113.48812,34.21195,113.48813,34.21194,0.3006339967250824,0,healthy
35176,12994.87,8640.336,13038.727,8676.459,113.48741,34.21157,113.48742,34.211567,0.30060911178588867,0,healthy
35177,16805.844,15304.524,16907.27,15396.162,113.48785,34.210945,113.487854,34.210938,0.3005416691303253,0,healthy
35178,19427.797,10401.72,19487.385,10432.0,113.48814,34.211403,113.488144,34.211403,0.30052411556243896,1,disease
35179,7112.72,9275.716,7152.3027,9313.235,113.48675,34.21151,113.486755,34.211506,0.30042076110839844,1,disease
35180,19577.371,5174.4517,19632.008,5219.98,113.48816,34.211895,113.48816,34.21189,0.3003723621368408,0,healthy
35181,16904.479,10062.451,16956.508,10110.842,113.487854,34.211437,113.48786,34.211433,0.3001960515975952,0,healthy
35182,15423.425,3614.179,15483.93,3678.2231,113.487686,34.21204,113.48769,34.212036,0.3001355528831482,1,disease
35183,17166.61,10428.39,17232.355,10481.343,113.487885,34.211403,113.48789,34.211395,0.2999953627586365,0,healthy
35184,16640.02,14889.369,16698.826,14948.026,113.48782,34.210983,113.48783,34.21098,0.2999725937843323,1,disease
35185,13248.0,480.84283,13272.273,520.4189,113.48744,34.212334,113.48744,34.21233,0.2999304533004761,0,healthy
35186,8937.009,11533.773,8974.652,11569.254,113.48695,34.2113,113.48696,34.211296,0.29988420009613037,0,healthy
35187,7662.6494,10952.459,7711.3477,10996.025,113.48681,34.211353,113.48682,34.21135,0.2997783124446869,1,disease
35188,5184.0156,6272.291,5206.7725,6332.628,113.486534,34.211792,113.486534,34.211784,0.29967001080513,0,healthy
35189,9794.701,8221.818,9839.925,8258.395,113.48705,34.21161,113.48706,34.211605,0.2996540665626526,0,healthy
35190,13248.08,9216.0,13268.305,9252.416,113.48744,34.211517,113.48744,34.211514,0.29961198568344116,0,healthy
35191,21031.71,8478.629,21105.803,8543.641,113.48832,34.211586,113.48833,34.21158,0.2996077537536621,1,disease
35192,18240.33,13580.376,18297.305,13637.645,113.48801,34.211105,113.488014,34.2111,0.2995201349258423,0,healthy
35193,8640.0,6128.7397,8653.005,6199.557,113.48692,34.211803,113.48692,34.2118,0.2995153069496155,0,healthy
35194,23460.252,4609.4795,23552.912,4682.043,113.488594,34.21195,113.4886,34.21194,0.29947417974472046,0,healthy
35195,9846.098,7488.017,9891.227,7503.3877,113.48706,34.211678,113.48706,34.211678,0.2994326651096344,0,healthy
35196,16130.173,3505.9868,16201.51,3520.0,113.48777,34.21205,113.48778,34.212048,0.29936516284942627,0,healthy
35197,14690.719,10091.123,14780.07,10162.24,113.4876,34.211433,113.48762,34.211426,0.2993514835834503,0,healthy
35198,8064.0547,10399.88,8078.273,10432.0,113.486855,34.211403,113.486855,34.211403,0.29934316873550415,0,healthy
35199,18471.686,13667.372,18496.0,13745.45,113.48803,34.211098,113.48804,34.21109,0.29920637607574463,0,healthy
35200,3410.5537,6926.4395,3463.5103,6976.0,113.48633,34.21173,113.486336,34.211727,0.2991189658641815,0,healthy
35201,18611.648,5619.667,18674.69,5669.308,113.488045,34.211853,113.48805,34.21185,0.29901883006095886,0,healthy
35202,20498.723,14734.593,20573.328,14791.658,113.48826,34.211,113.488266,34.21099,0.29896655678749084,1,disease
35203,15889.551,3523.056,15922.721,3560.5745,113.48774,34.212048,113.48775,34.212044,0.2989535629749298,0,healthy
35204,13456.48,13562.365,13506.611,13608.555,113.487465,34.21111,113.48747,34.211105,0.298917293548584,0,healthy
35205,17856.307,8751.425,17891.383,8803.322,113.48796,34.21156,113.48797,34.211555,0.2988877296447754,1,disease
35206,20254.018,12143.501,20299.023,12185.794,113.488235,34.211243,113.488235,34.21124,0.2988598346710205,1,disease
35207,13895.127,13803.832,13937.78,13840.903,113.48752,34.211086,113.48752,34.211082,0.2987864911556244,1,disease
35208,12783.287,10368.162,12816.011,10402.328,113.48739,34.211407,113.4874,34.211403,0.29878389835357666,1,disease
35209,22464.012,3789.725,22487.654,3853.5679,113.48848,34.212025,113.48849,34.212017,0.29877421259880066,0,healthy
35210,17856.0,5806.7617,17908.494,5824.0,113.48796,34.211834,113.48797,34.211834,0.2987702190876007,0,healthy
35211,15711.062,2929.086,15755.607,2971.3,113.48772,34.212105,113.487724,34.2121,0.29865074157714844,0,healthy
35212,17280.156,9804.791,17322.611,9853.573,113.4879,34.21146,113.4879,34.211456,0.2986294627189636,1,disease
35213,17439.055,11520.006,17502.742,11537.179,113.487915,34.2113,113.48792,34.211296,0.2986176908016205,0,healthy
35214,4586.913,6742.2363,4632.863,6792.9136,113.486465,34.211746,113.48647,34.211742,0.2986017167568207,0,healthy
35215,18778.88,11982.816,18827.8,12025.476,113.48807,34.211258,113.48807,34.21125,0.2985835373401642,1,disease
35216,18955.658,6161.038,19002.229,6205.994,113.48808,34.211803,113.48809,34.211796,0.29848796129226685,1,disease
35217,15590.076,13824.116,15616.0,13871.394,113.48771,34.211082,113.48771,34.21108,0.29845383763313293,0,healthy
35218,22489.271,4032.08,22543.764,4060.6948,113.48849,34.212,113.48849,34.211998,0.2984495162963867,0,healthy
35219,8204.87,8009.5107,8258.748,8060.7715,113.48687,34.211628,113.48688,34.211624,0.2983245253562927,0,healthy
35220,5332.717,7060.0464,5379.164,7107.806,113.48655,34.211716,113.48656,34.21171,0.2981918156147003,0,healthy
35221,15019.648,1144.0591,15039.969,1203.6013,113.48764,34.212273,113.48764,34.212265,0.29817163944244385,0,healthy
35222,13060.427,11565.756,13148.416,11584.0,113.48742,34.211296,113.48743,34.211292,0.2981051802635193,0,healthy
35223,17282.729,11563.019,17334.145,11603.852,113.4879,34.211296,113.4879,34.211292,0.29808247089385986,0,healthy
35224,14465.254,10437.5625,14508.021,10474.525,113.48758,34.2114,113.48759,34.2114,0.29802849888801575,0,healthy
35225,11529.137,3366.6562,11581.3125,3417.4893,113.48725,34.212063,113.48725,34.21206,0.29791000485420227,0,healthy
35226,18150.77,9340.133,18198.098,9385.042,113.48799,34.211502,113.488,34.2115,0.29779699444770813,0,healthy
35227,15108.635,2315.2783,15164.643,2366.7893,113.48765,34.212162,113.487656,34.21216,0.29777923226356506,0,healthy
35228,17468.334,9269.049,17520.209,9313.228,113.487915,34.21151,113.48792,34.211506,0.2976939082145691,1,disease
35229,15316.055,1405.6791,15366.205,1458.2593,113.48768,34.212246,113.48768,34.212242,0.29764416813850403,0,healthy
35230,19544.566,5229.7847,19621.104,5248.0,113.48815,34.211887,113.48816,34.211887,0.2975933253765106,0,healthy
35231,5851.334,5309.2363,5896.113,5355.2026,113.48661,34.211884,113.48661,34.211876,0.2975383996963501,1,disease
35232,5981.4507,7781.9727,6032.1304,7825.4424,113.48662,34.21165,113.486626,34.211647,0.2975228726863861,1,disease
35233,3499.8237,9147.5205,3519.9883,9216.032,113.48634,34.21152,113.48634,34.211514,0.29746776819229126,0,healthy
35234,16954.055,6096.1245,17012.94,6151.8164,113.48786,34.211807,113.48787,34.211803,0.29743456840515137,1,disease
35235,19909.582,4285.4463,19954.912,4330.0522,113.48819,34.21198,113.4882,34.211975,0.2973952293395996,0,healthy
35236,5802.6465,10031.985,5824.0,10097.269,113.4866,34.211437,113.4866,34.211433,0.29736074805259705,0,healthy
35237,20663.438,12498.649,20721.97,12545.605,113.48828,34.21121,113.48829,34.211205,0.297336220741272,0,healthy
35238,21162.406,12687.991,21208.105,12730.815,113.488335,34.21119,113.48834,34.211185,0.29729896783828735,0,healthy
