epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,347.757,0.11768,0.60384,0.8442,0.81513,0.61348,0.67937,0.44947,0.12849,0.5901,0.96484,0.000545733,0.000545733,0.000545733
60,353.403,0.11064,0.57549,0.79302,0.82176,0.6258,0.68451,0.45343,0.13223,0.60503,0.9863,0.000524299,0.000524299,0.000524299
61,359.26,0.11513,0.59133,0.82192,0.65062,0.72448,0.69346,0.44686,0.1267,0.59546,0.95867,0.00050306,0.00050306,0.00050306
62,365.141,0.11204,0.60374,0.80363,0.7053,0.6791,0.70774,0.44909,0.12548,0.58784,0.94949,0.000482037,0.000482037,0.000482037
63,371.002,0.1134,0.56401,0.8273,0.75665,0.64404,0.66725,0.4151,0.12324,0.57988,0.92767,0.00046125,0.00046125,0.00046125
64,376.888,0.11455,0.58852,0.80931,0.70368,0.62771,0.65704,0.41504,0.1195,0.57454,0.90532,0.00044072,0.00044072,0.00044072
65,382.609,0.11103,0.55294,0.79494,0.61752,0.62311,0.63405,0.41793,0.11985,0.55863,0.90425,0.000420468,0.000420468,0.000420468
66,388.276,0.10606,0.54152,0.79529,0.77341,0.58144,0.63067,0.4261,0.12024,0.55882,0.90636,0.000400513,0.000400513,0.000400513
67,393.986,0.11083,0.57294,0.80523,0.80194,0.57733,0.63328,0.41944,0.12457,0.57664,0.92735,0.000380874,0.000380874,0.000380874
68,399.809,0.1123,0.5684,0.80694,0.85994,0.57079,0.64559,0.44273,0.1207,0.57545,0.91427,0.000361572,0.000361572,0.000361572
69,405.463,0.11273,0.55334,0.81147,0.8339,0.57133,0.64093,0.44039,0.11886,0.5709,0.90695,0.000342625,0.000342625,0.000342625
70,411.219,0.11482,0.56726,0.79948,0.86427,0.57733,0.64456,0.44418,0.11715,0.55549,0.8981,0.000324053,0.000324053,0.000324053
71,417.018,0.11521,0.58789,0.81839,0.85066,0.58093,0.64477,0.44408,0.11382,0.54096,0.88372,0.000305872,0.000305872,0.000305872
72,422.96,0.11306,0.61683,0.81658,0.86782,0.58174,0.64599,0.44383,0.11215,0.53998,0.8785,0.000288102,0.000288102,0.000288102
73,428.682,0.10978,0.54982,0.79573,0.68644,0.64753,0.65355,0.43191,0.11469,0.54017,0.88776,0.00027076,0.00027076,0.00027076
74,434.469,0.10902,0.5413,0.79788,0.87853,0.58263,0.65299,0.41586,0.12055,0.56553,0.91206,0.000253863,0.000253863,0.000253863
75,440.098,0.11079,0.54678,0.79468,0.8789,0.57973,0.65464,0.42222,0.11961,0.56418,0.90992,0.000237427,0.000237427,0.000237427
76,445.826,0.11333,0.57356,0.8165,0.88627,0.57933,0.64594,0.42332,0.11646,0.56224,0.89822,0.000221469,0.000221469,0.000221469
77,451.522,0.10806,0.53744,0.79556,0.87373,0.58016,0.64396,0.43313,0.11098,0.54824,0.87591,0.000206005,0.000206005,0.000206005
78,457.279,0.11059,0.55257,0.80856,0.858,0.58237,0.63925,0.43266,0.11013,0.5463,0.8725,0.00019105,0.00019105,0.00019105
79,462.914,0.10716,0.5237,0.78851,0.84245,0.58403,0.64191,0.42588,0.11168,0.54098,0.87813,0.000176619,0.000176619,0.000176619
80,468.561,0.1057,0.53134,0.78465,0.84904,0.58421,0.6395,0.42563,0.11261,0.54201,0.88097,0.000162725,0.000162725,0.000162725
81,474.202,0.10856,0.53902,0.79674,0.86065,0.5845,0.65615,0.438,0.11105,0.53684,0.87378,0.000149383,0.000149383,0.000149383
82,479.987,0.10983,0.54111,0.79999,0.87422,0.58363,0.64911,0.43508,0.1094,0.53539,0.86643,0.000136605,0.000136605,0.000136605
83,485.611,0.10874,0.51719,0.77551,0.88836,0.58325,0.65725,0.44015,0.10782,0.53033,0.86063,0.000124405,0.000124405,0.000124405
84,491.249,0.10312,0.51947,0.75211,0.90286,0.58213,0.66997,0.4614,0.1069,0.53008,0.85744,0.000112795,0.000112795,0.000112795
85,497.144,0.1072,0.54072,0.79171,0.67581,0.72752,0.69258,0.46848,0.10757,0.53186,0.86073,0.000101785,0.000101785,0.000101785
86,502.587,0.10239,0.50271,0.79692,0.68717,0.64563,0.69391,0.45877,0.11008,0.53493,0.87322,9.13871e-05,9.13871e-05,9.13871e-05
87,507.835,0.10125,0.48305,0.76204,0.90948,0.60977,0.69371,0.46726,0.11043,0.5356,0.87702,8.16111e-05,8.16111e-05,8.16111e-05
88,513.104,0.0997,0.47664,0.79105,0.91899,0.60452,0.69706,0.46739,0.10936,0.53579,0.87219,7.24667e-05,7.24667e-05,7.24667e-05
89,518.369,0.10021,0.47523,0.78469,0.91708,0.60863,0.70867,0.46824,0.10942,0.5344,0.87212,6.3963e-05,6.3963e-05,6.3963e-05
90,523.648,0.09624,0.46244,0.77553,0.672,0.67161,0.68367,0.46037,0.10849,0.52864,0.86748,5.61083e-05,5.61083e-05,5.61083e-05
91,528.85,0.09799,0.46777,0.77698,0.67503,0.73604,0.70538,0.46093,0.10904,0.52856,0.869,4.89104e-05,4.89104e-05,4.89104e-05
92,534.23,0.09924,0.47645,0.78892,0.66732,0.73604,0.72089,0.46366,0.10952,0.53037,0.87095,4.23765e-05,4.23765e-05,4.23765e-05
93,539.534,0.09723,0.45975,0.76284,0.66638,0.73604,0.71,0.45344,0.10996,0.535,0.87151,3.65129e-05,3.65129e-05,3.65129e-05
94,544.856,0.09691,0.45699,0.77681,0.90713,0.58193,0.67499,0.44716,0.10965,0.53704,0.87119,3.13254e-05,3.13254e-05,3.13254e-05
95,550.142,0.09701,0.46142,0.7736,0.90424,0.58172,0.66665,0.44967,0.10842,0.53222,0.86562,2.68192e-05,2.68192e-05,2.68192e-05
96,555.465,0.10556,1.46538,0.83276,0.90284,0.58188,0.66458,0.44837,0.10901,0.53566,0.86829,2.29987e-05,2.29987e-05,2.29987e-05
97,560.733,0.0947,0.43868,0.76161,0.90299,0.58169,0.65928,0.44614,0.10866,0.5351,0.86717,1.98677e-05,1.98677e-05,1.98677e-05
98,566.003,0.09881,0.45924,0.77578,0.90378,0.58165,0.66377,0.44675,0.1091,0.5366,0.86856,1.74293e-05,1.74293e-05,1.74293e-05
99,571.317,0.09809,0.46192,0.76752,0.90333,0.58166,0.66345,0.44802,0.11037,0.54186,0.87311,1.56858e-05,1.56858e-05,1.56858e-05
100,576.635,0.09528,0.43965,0.75045,0.90279,0.58167,0.66628,0.44648,0.11031,0.54292,0.87332,1.4639e-05,1.4639e-05,1.4639e-05
